motif,contrast,EM_coef,CM_coef,logFC,se,zscore,pvalue,Naive_coef,Low_coef,High_coef,qvalue
WW,EM_vs_CM,-0.5073358733457122,-0.5229049452910306,0.015569071945318425,0.07703843293351494,0.20209486813879918,0.8398425597267939,,,,0.9431098760560053
deltaCOP1,EM_vs_CM,-0.901764533252967,-0.2680059225988787,-0.6337586106540883,0.27773594206766533,-2.281874668204393,0.02249674080509809,,,,0.329952198474772
eIF4E,EM_vs_CM,-0.2891219738927079,-0.3655013430394295,0.07637936914672161,0.26782183379305735,0.2851872383404671,0.7755006969067912,,,,0.9431098760560053
14-3-3,Naive_vs_CM,,-0.15986497097677424,0.01966931598847102,0.04567987604739844,0.4305903975759853,0.6667662244703603,-0.14019565498830322,,,0.8882704851199039
ANK,Naive_vs_CM,,-0.28282143734395526,-0.22875713451845137,0.22814633582938823,-1.0026772233130226,0.316016622862477,-0.5115785718624066,,,0.6952365702974495
APCC,Naive_vs_CM,,-0.6754805104938357,-0.011351512361244875,0.1794652550348763,-0.06325186654675238,0.9495659438974655,-0.6868320228550806,,,0.9716488728253135
Actin,Naive_vs_CM,,-0.8468185626033585,-0.12964346652286418,0.11914763236866281,-1.0880910005976911,0.2765549362177224,-0.9764620291262227,,,0.6952365702974495
Arc,Naive_vs_CM,,-0.7017978836802914,-0.09597357441986543,0.08124797298361745,-1.1812426931465378,0.2375063255691524,-0.7977714581001568,,,0.6952365702974495
BIR,Naive_vs_CM,,0.04844173754687416,-0.03668676665778362,0.06126055490542836,-0.5988644195995158,0.5492632998764222,0.011754970889090543,,,0.8333650067090543
BRCT,Naive_vs_CM,,-0.26180694274730054,-0.14360245058788224,0.07545279692969516,-1.9032091112763792,0.05701326474528615,-0.4054093933351828,,,0.4180972747987651
CDC14,Naive_vs_CM,,0.41357872110692206,-0.24834407160910196,0.21739368866639402,-1.1423702000392637,0.25330017265860294,0.1652346494978201,,,0.6952365702974495
CKS1,Naive_vs_CM,,-0.41344845871190256,-0.13422514938471158,0.13322699678181035,-1.0074921196680275,0.3136983427536614,-0.5476736080966141,,,0.6952365702974495
CYCLIN,Naive_vs_CM,,-0.21798617268704817,-0.11718224915516984,0.06701709571242255,-1.7485426354196438,0.0803701096077648,-0.335168421842218,,,0.44203560284270643
DLG,Naive_vs_CM,,-0.06872843992352985,-0.11482995130188799,0.20169535261523625,-0.569323734101812,0.569136462888927,-0.18355839122541784,,,0.8347334789037596
FHA,Naive_vs_CM,,-0.14956890816821058,-0.046629810177829356,0.048171267803011245,-0.968000476311202,0.3330441318199844,-0.19619871834603994,,,0.6978067523847292
GBD,Naive_vs_CM,,-1.6809042522505053,-0.31044640200501905,0.21262456663526852,-1.4600683585991827,0.14427128766502614,-1.9913506542555244,,,0.5289947214384292
IRF7,Naive_vs_CM,,-0.5123009334178662,0.27406898058863016,0.18136101177186226,1.5111791553820133,0.1307428117052595,-0.23823195282923604,,,0.5289947214384292
Integrin,Naive_vs_CM,,-1.380215125826244,0.17599123606168954,0.24372778189728792,0.7220811459887491,0.47024458918751033,-1.2042238897645545,,,0.8276304769700182
