ELM,Phenotype,Effect,SE,Pvalue,FDR,log2FC
PTB,EM_High,-0.00818415387557907,0.06426062789067453,0.898656455247452,0.9998849800444911,-0.011807238210170117
PTB,EM_Low,0.008941522309021881,0.05960952701616858,0.8807633809670334,0.9998849800444911,0.012899889893223902
Pex14,Naive_High,0.013139257947611845,0.039212330844876575,0.7375649292346687,0.9998849800444911,0.01895594228198051
Pex14,Naive_Low,0.0,0.0,,,0.0
Pex14,CM_High,-0.024529942053755003,0.04005013437988744,0.5402196360518222,0.9998849800444911,-0.03538922575424598
Pex14,CM_Low,-0.0045550327286723955,0.04230855551818668,0.9142636446489312,0.9998849800444911,-0.006571523128742589
Pex14,EM_High,-0.0045399832236944476,0.04030893271145974,0.9103241332416014,0.9998849800444911,-0.006549811282543069
Pex14,EM_Low,-0.020080356322539857,0.03719933883409484,0.589332126242629,0.9998849800444911,-0.028969830485811594
REV1ctd,Naive_High,-0.016739188377475192,0.07186646132006073,0.8158229636570828,0.9998849800444911,-0.024149544060689632
REV1ctd,Naive_Low,0.0,0.0,,,0.0
REV1ctd,CM_High,-0.0008603683276044053,0.07432725939072277,0.9907643671917234,0.9998849800444911,-0.0012412491195728066
REV1ctd,CM_Low,-0.0018571283753822628,0.07855184401657292,0.9811381126787817,0.9998849800444911,-0.002679269897458168
REV1ctd,EM_High,0.010831284846924364,0.07772849521205129,0.8891754206021935,0.9998849800444911,0.015626240935113556
REV1ctd,EM_Low,0.003647662232942921,0.06942388485064377,0.9580969167361468,0.9998849800444911,0.005262464214304715
SH2,Naive_High,-0.06371140011263934,0.02768215896111784,0.021361526896968706,0.9998849800444911,-0.09191612099059733
SH2,Naive_Low,0.0,0.0,,,0.0
SH2,CM_High,-0.035082803067288726,0.028439114958627675,0.21734791800183706,0.9998849800444911,-0.05061378600566156
SH2,CM_Low,-0.02800696027729123,0.02984922326224781,0.34810000023276755,0.9998849800444911,-0.04040550270242225
SH2,EM_High,-0.012127715368904057,0.028777235781861425,0.6734379478805763,0.9998849800444911,-0.01749659482003075
SH2,EM_Low,-0.028027291445196667,0.02635260971471338,0.28753306097244047,0.9998849800444911,-0.0404348343775349
SH3,Naive_High,0.02039833401441918,0.03301286409030579,0.5366475433116598,0.9998849800444911,0.029428575324999217
