CCD,contrast,effect,EM_effect,CM_effect,overall_pvalue,overall_qvalue,max_pip,contrast_max_pip,Naive_effect,Low_effect,High_effect
LPAR3-2,EM_vs_CM,1.1238101525670088,0.21506972934378932,-0.9087404232232195,1.937578593318799e-138,2.344865522118465e-138,1.0,1.0,,,
LPAR3-2,Naive_vs_CM,1.0861943575049613,,-0.9087404232232195,1.937578593318799e-138,2.344865522118465e-138,1.0,1.0,0.17745393428174183,,
LPAR3-2,Naive_vs_EM,-0.037615795062047486,0.21506972934378932,,1.937578593318799e-138,2.344865522118465e-138,1.0,1.0,0.17745393428174183,,
LPAR3-2,PD1Low_vs_PD1High,-0.26282984884208743,,,1.937578593318799e-138,2.344865522118465e-138,1.0,1.0,,-0.30348717762027316,-0.04065732877818573
LPAR4-1,EM_vs_CM,-0.26630697578816387,-0.10900698873147818,0.1572999870566857,9.422409705567326e-210,1.2556154955958257e-209,1.0,1.0,,,
LPAR4-1,Naive_vs_CM,-0.14456345414813232,,0.1572999870566857,9.422409705567326e-210,1.2556154955958257e-209,1.0,1.0,0.012736532908553366,,
LPAR4-1,Naive_vs_EM,0.12174352164003155,-0.10900698873147818,,9.422409705567326e-210,1.2556154955958257e-209,1.0,1.0,0.012736532908553366,,
LPAR4-1,PD1Low_vs_PD1High,-0.08367814090168216,,,9.422409705567326e-210,1.2556154955958257e-209,1.0,1.0,,-0.021495893372920793,0.06218224752876137
LPAR4-2,EM_vs_CM,0.13606938930144397,-0.43133083110959325,-0.5674002204110372,0.0,0.0,1.0,1.0,,,
LPAR4-2,Naive_vs_CM,0.8925676462143317,,-0.5674002204110372,0.0,0.0,1.0,1.0,0.3251674258032945,,
LPAR4-2,Naive_vs_EM,0.7564982569128877,-0.43133083110959325,,0.0,0.0,1.0,1.0,0.3251674258032945,,
LPAR4-2,PD1Low_vs_PD1High,-1.2559006802867978,,,0.0,0.0,1.0,1.0,,-0.8524715487158442,0.40342913157095356
LPAR5-1,EM_vs_CM,-0.13994541744057865,-0.07845452219868876,0.06149089524188989,0.0,0.0,1.0,1.0,,,
LPAR5-1,Naive_vs_CM,-0.046652836125679165,,0.06149089524188989,0.0,0.0,1.0,1.0,0.014838059116210722,,
LPAR5-1,Naive_vs_EM,0.09329258131489948,-0.07845452219868876,,0.0,0.0,1.0,1.0,0.014838059116210722,,
LPAR5-1,PD1Low_vs_PD1High,0.16939874487485831,,,0.0,0.0,1.0,1.0,,0.08399084982389977,-0.08540789505095854
LPAR5-2,EM_vs_CM,1.2897416426249046,-0.11953738013868731,-1.409279022763592,0.0,0.0,1.0,1.0,,,
LPAR5-2,Naive_vs_CM,2.0370758436630667,,-1.409279022763592,0.0,0.0,1.0,1.0,0.6277968208994745,,
LPAR5-2,Naive_vs_EM,0.7473342010381618,-0.11953738013868731,,0.0,0.0,1.0,1.0,0.6277968208994745,,
LPAR5-2,PD1Low_vs_PD1High,-0.5249317401551448,,,0.0,0.0,1.0,1.0,,-0.562805730745174,-0.03787399059002924
LPAR6-1,EM_vs_CM,0.3706117080625737,-0.18817921869299714,-0.5587909267555708,0.0,0.0,1.0,1.0,,,
LPAR6-1,Naive_vs_CM,0.6363985722026053,,-0.5587909267555708,0.0,0.0,1.0,1.0,0.07760764544703447,,
LPAR6-1,Naive_vs_EM,0.2657868641400316,-0.18817921869299714,,0.0,0.0,1.0,1.0,0.07760764544703447,,
LPAR6-1,PD1Low_vs_PD1High,-1.4852070104744297,,,0.0,0.0,1.0,1.0,,-0.9657243385710593,0.5194826719033703
LTB4R-2,EM_vs_CM,-0.21556453970072614,0.0857063114910045,0.30127085119173064,0.5889841222199335,0.6001161245299322,0.9798219079294872,0.9798219079294872,,,
LTB4R-2,Naive_vs_CM,-0.7534357128791422,,0.30127085119173064,0.5889841222199335,0.6001161245299322,0.9798219079294872,0.9798219079294872,-0.45216486168741166,,
