motif,contrast,EM_coef,CM_coef,logFC,se,zscore,pvalue,Naive_coef,Low_coef,High_coef,qvalue
USP7,Naive_vs_CM,,0.09086389766295658,0.5801730027234511,0.22851154804467716,2.538922026864127,0.011119460226032777,0.6710369003864076,,,0.02918858309333604
WD40,Naive_vs_CM,,-2.051315054228763,0.09385515764724017,0.29607913486278603,0.31699348787524695,0.7512485435662701,-1.9574598965815229,,,0.7599156470732334
WRC,Naive_vs_CM,,-1.5227749851312147,-1.3432950986697774,0.4467632219001081,-3.0067271270823746,0.002640766943823317,-2.866070083800992,,,0.01109122116405793
WW,Naive_vs_CM,,-0.9907709245639347,-0.4255020021451459,0.2608704762381412,-1.6310853120715634,0.10287231946003801,-1.4162729267090806,,,0.15430847919005702
14-3-3,Naive_vs_EM,-0.0016490240355136578,,-0.6038478481158255,0.4105519936225989,-1.4708194272487551,0.14133995711936287,-0.6054968721513392,,,0.29681390995066204
BIR,Naive_vs_EM,-1.0462642507716067,,0.11364242504986344,0.3364097403263634,0.3378095561074265,0.7355067080718323,-0.9326218257217432,,,0.8129284668162357
BRCT,Naive_vs_EM,-3.607870358208632,,0.2376889242588054,0.3171654949793031,0.7494160872522277,0.453606457721452,-3.3701814339498264,,,0.641140320551366
CYCLIN,Naive_vs_EM,-2.138873301743661,,-0.13657707605126523,0.3171416130949686,-0.43065012729933677,0.6667227870401303,-2.275450377794926,,,0.7778432515468187
FHA,Naive_vs_EM,-2.901462765662801,,0.39712349638479516,0.40541787214779323,0.9795411689202138,0.3273126573057936,-2.504339269278006,,,0.5287358310324358
LIR,Naive_vs_EM,1.9976521692826748,,0.20712367469905923,0.2790617385906926,0.7422145212205287,0.45795737182240426,2.204775843981734,,,0.641140320551366
MAPK,Naive_vs_EM,-0.0027215389540821825,,-0.03264633757448791,0.29483238306107096,-0.11072846624085259,0.9118316719837141,-0.0353678765285701,,,0.9462107331991108
PDZ,Naive_vs_EM,0.4515155712921955,,-0.8469181562345488,0.37382712920689243,-2.265534227094115,0.023479916111494477,-0.3954025849423533,,,0.08217970639023067
PP2A,Naive_vs_EM,-1.999521002480383,,0.5537061173276803,0.4120922171996854,1.3436461408815534,0.17906284139470985,-1.4458148851527026,,,0.3418472426626279
PP2B,Naive_vs_EM,-3.6382354928535108,,-1.4384032254152572,0.4363319760853077,-3.296579907620691,0.0009786976937742277,-5.076638718268768,,,0.0068508838564195935
PP4,Naive_vs_EM,-3.256775520661497,,1.4709563706023203,0.35831910070761613,4.105157575182134,4.040393725828716e-05,-1.7858191500591765,,,0.0008484826824240304
Pex14,Naive_vs_EM,-3.1239767421927604,,0.15623321922395617,0.31422980822124735,0.4971941398823414,0.6190521535024704,-2.9677435229688043,,,0.7647114837383459
SH2,Naive_vs_EM,1.2121699525315432,,-0.611212862663025,0.2287795608332104,-2.67162355079711,0.007548527835865695,0.6009570898685183,,,0.03170381691063592
SH3,Naive_vs_EM,0.7230240052037471,,0.25296794101602504,0.37164488057864853,0.6806711305215767,0.49607960756474845,0.9759919462197721,,,0.6511044849287323
SUMO,Naive_vs_EM,-0.22254611792484605,,0.017028293584315873,0.25239817248895663,0.06746599397450441,0.9462107331991108,-0.20551782434053018,,,0.9462107331991108
TRAF6,Naive_vs_EM,1.5875914349267222,,1.8264204338105843,0.46346063088092987,3.9408318897313626,8.119951935275788e-05,3.4140118687373064,,,0.0008525949532039577
UBA3,Naive_vs_EM,1.483962997195554,,1.0009495385229885,0.36463366245532897,2.7450826448192074,0.006049566080272519,2.4849125357185424,,,0.03170381691063592
USP7,Naive_vs_EM,0.18904214551217557,,0.48199475487423205,0.22872786343557566,2.107284821510137,0.03509289824912255,0.6710369003864076,,,0.10527869474736766
WD40,Naive_vs_EM,-1.6524829316809482,,-0.3049769649005747,0.2962061740256405,-1.0296104255888163,0.3031929192204552,-1.9574598965815229,,,0.5287358310324358
WRC,Naive_vs_EM,-2.1432880879932523,,-0.7227819958077397,0.447535397648618,-1.6150275477767488,0.10630472935477393,-2.866070083800992,,,0.24804436849447253
WW,Naive_vs_EM,-0.8958272751864281,,-0.5204456515226524,0.2611446680676876,-1.9929399875311837,0.0462680189387923,-1.4162729267090806,,,0.1214535497143298
