ELM,n_with,n_without,u_stat,pvalue,cliff_delta,n_pairs,mean_with,mean_without,median_with,median_without,phenotype,qvalue,sig_stars
Pex14,92,507,807817.5,0.15658398664327658,-0.03784516765285996,1679184,-0.693253561180563,0.6156511874879949,-2.3593504259388576,-1.3969525011456216,Naive_Low,0.522549562704152,
REV1ctd,15,584,160693.0,0.7566134764956441,0.01910832064941654,315360,0.8028679662815759,0.4046452139273594,-1.383575937998572,-1.5680101686032102,Naive_Low,0.8529284175270824,
SH2,222,377,1483320.5,0.4405667991226576,-0.015381097277649003,3012984,-0.04347835011489693,0.6843714009371581,-1.45581109321722,-1.6731130670046679,Naive_Low,0.7119275685174222,
SH3,103,496,879415.5,0.08703699154763245,-0.04368116452656853,1839168,-1.3753636645546368,0.786327181203486,-1.5747039909851424,-1.5544203162448058,Naive_Low,0.3554010488194992,
SUMO,55,544,535995.5,0.886500337362116,-0.004761772133095662,1077120,0.8159371956544371,0.37404279166692556,-2.172527116603602,-1.4618327120017724,Naive_Low,0.9049690943904934,
TRAF2like,14,585,160627.0,0.15996415184820978,0.08958757292090626,294840,3.8758240032847624,0.3317851083449826,-0.39210648593252817,-1.596533423429071,Naive_Low,0.522549562704152,
TRAF4,22,577,232012.5,0.7635376868796291,0.015407541620713198,456984,1.7912032556921862,0.3621305941119123,-0.9279088329363736,-1.576957003376053,Naive_Low,0.8529284175270824,
TRAF6,13,586,134267.5,0.7526971632506285,-0.020831510165981157,274248,-0.2295726086810028,0.42890830774855715,-0.9536995049706936,-1.576957003376053,Naive_Low,0.8529284175270824,
TRFH,3,596,36421.0,0.33467161172955673,0.1316492667163808,64368,2.989222548935561,0.4016579811761658,-0.808621419070965,-1.576957003376053,Naive_Low,0.7030057114921638,
TYR,20,579,197871.5,0.3443293280777945,-0.05070284014584533,416880,-0.4331529335299043,0.44390135250155377,-2.8761546784667944,-1.4668792696246302,Naive_Low,0.7030057114921638,
UBA3,66,533,671455.0,0.04955632520157141,0.0604086518720665,1266408,2.300312266609744,0.18111672576277377,-0.7504373989463691,-1.6235725191778356,Naive_Low,0.2579201672272001,
USP7,301,298,1569847.0,0.15052100016094397,-0.027696021960108116,3229128,-0.2877274105051951,1.1240328019794135,-1.706130570487854,-1.393052172877507,Naive_Low,0.522549562704152,
WD40,315,284,1528382.0,0.008373870224801704,-0.05085947785478302,3220560,-0.23791600300352103,1.1383780470912348,-1.7585435911360299,-1.1428180651438455,Naive_Low,0.06838660683588058,
WRC,21,578,218754.0,0.9812079122019659,0.001235788433020267,436968,3.793254197439723,0.2918641631168986,-3.46670756913735,-1.4642473187491012,Naive_Low,0.9812079122019659,
WW,125,474,981342.0,0.0007551016183785214,-0.07984810126582279,2133000,-1.7104282534253337,0.975019738620186,-1.944817897603048,-1.3350376807154627,Naive_Low,0.033333327024036546,*
deltaCOP1,6,593,59475.0,0.4608198310968681,-0.07134157766535507,128088,-1.7920828440172443,0.43694489290371835,-3.373032963047412,-1.5145301072063369,Naive_Low,0.7119275685174222,
eIF4E,6,593,66365.0,0.7079574894115781,0.03624070951221035,128088,2.9049427897276723,0.38942018160107167,-1.4901922780235504,-1.5680101686032102,Naive_Low,0.8529284175270824,
14-3-3,258,341,1587205.5,0.9069368464453198,0.0022742428031250236,3167208,-0.13897104578552982,-0.491550482680645,-2.4149990814586504,-2.3973155973817746,CM_High,0.9882376397843616,
ANK,6,593,59163.0,0.43077624513940926,-0.07621322840547123,128088,-2.1941212138677293,-0.3209249867176397,-3.44982493679759,-2.404503031127561,CM_High,0.7619111701083513,
APCC,10,589,104385.0,0.8375118744352832,-0.01542161856253537,212040,-0.5414660809853583,-0.33626245092854506,-3.1651905498212187,-2.3853734560244915,CM_High,0.9882376397843616,
Actin,22,577,255257.0,0.022170122383584297,0.11713758030915743,456984,1.9301403063837599,-0.42623280961388105,-0.8437551086215549,-2.5275358334059987,CM_High,0.13579199959945382,
Arc,60,539,582857.0,0.9685427920246147,0.0012660619803476947,1164240,-0.051262893721967455,-0.37179493651845746,-2.3007031145962076,-2.431460016711214,CM_High,0.9882376397843616,
BIR,98,501,863149.0,0.3703378036705227,-0.02332636314672243,1767528,-0.3076025460879907,-0.34596446085857013,-2.308007901705995,-2.431460016711214,CM_High,0.7619111701083513,
BRCT,67,532,630800.5,0.5820624507045626,-0.01681987930024065,1283184,-0.5459187138999112,-0.3137155837884824,-2.366472244309364,-2.423627543257573,CM_High,0.8917250642658783,
CDC14,7,592,75331.0,0.9120394248083733,0.009907228657228657,149184,-0.8142814926309935,-0.3340764762809963,-0.9919464944015308,-2.4407841884694643,CM_High,0.9882376397843616,
CKS1,20,579,181591.5,0.01628732894141521,-0.12880685089234312,416880,-3.5533177849497357,-0.22868201849356115,-5.018648137974561,-2.298518823195603,CM_High,0.13301318635489087,
CSL,4,595,42968.0,0.9799226747571149,0.002987861811391223,85680,-2.3667691922160707,-0.3260607859460544,-3.766780974259108,-2.404503031127561,CM_High,0.9882376397843616,
CYCLIN,90,509,863188.5,0.08239616079567194,0.04682201848213636,1649160,0.08018313365773351,-0.413928735630575,-1.4415146416451114,-2.7127103163042587,CM_High,0.352143181623848,
Clathr,4,595,40509.0,0.6455217528841967,-0.054411764705882354,85680,-3.6987614200270316,-0.3171062163473252,-1.801948399507542,-2.4149990814586504,CM_High,0.9585019967068376,
DLG,8,591,65692.0,0.006560229579188455,-0.22809738672682836,170208,-6.478679603611682,-0.25658850689995455,-9.092132934020405,-2.325403447287076,CM_High,0.08036281234505857,
EVH1,3,596,18671.0,0.0020902384624448813,-0.4198670146656724,64368,-11.033171616068959,-0.2858619623465768,-10.631555107417704,-2.331039739593563,CM_High,0.05121084232989959,
FHA,221,378,1509831.5,0.8377353321260895,0.004088292486985297,3007368,-0.42651582352508643,-0.28892393494106494,-1.957132363326726,-2.841091604435184,CM_High,0.9882376397843616,
GBD,7,592,81540.0,0.29870119392238137,0.09314671814671814,149184,-0.6676846057213962,-0.33580988541675166,-1.4382111274806193,-2.4407841884694643,CM_High,0.6942985867738855,
IRF7,10,589,106138.0,0.9882376397843616,0.0011129975476325221,212040,-1.2747197665338803,-0.32381332214164327,-3.818436128504656,-2.3927940396912524,CM_High,0.9882376397843616,
Integrin,5,594,51085.5,0.6748786670168503,-0.04441638608305275,106920,-2.7691495372036257,-0.3192382099675901,-2.3719514532072505,-2.4100637094706254,CM_High,0.9726192554066371,
LIR,192,407,1456397.0,0.08623914652012603,0.035408277595777596,2813184,0.2129118035220393,-0.6003742277223542,-2.0820959061019293,-2.8078267712344296,CM_High,0.352143181623848,
LYPXL,1,598,2262.0,0.0008151154882158852,-0.7898550724637681,21528,-24.25966528654919,-0.29968825939835697,-22.180709512273744,-2.3853734560244915,CM_High,0.03994065892257837,*
MAPK,183,416,1321063.5,0.08571538941888882,-0.03593399712764467,2740608,-0.9287880114463438,-0.08054095748097549,-2.748865720275888,-2.306368907681806,CM_High,0.352143181623848,
MSH2,16,583,157757.0,0.31172589610256085,-0.06043334286258815,335808,-1.7098262125598869,-0.3020858061849202,-3.244497368565188,-2.3768567755373846,CM_High,0.6942985867738855,
MYND,14,585,145122.0,0.8068764573730635,-0.015588115588115589,294840,-2.864050508028561,-0.27927613212712277,-1.4194748221294793,-2.459828690944991,CM_High,0.9882376397843616,
NRBOX,25,574,243356.0,0.22967257841017785,-0.057855207123499806,516600,-1.4021098879238665,-0.2934155003635367,-3.668128883400841,-2.325403447287076,CM_High,0.6252197967832619,
NRP,20,579,210492.5,0.8543138875678684,0.009846958357321052,416880,-2.3352089715854207,-0.27075831601909867,-0.8702531901878898,-2.4850395782004395,CM_High,0.9882376397843616,
PCNA,30,569,323897.0,0.22015123325720143,0.05414632558745037,614520,0.5948932860245387,-0.388963168695084,-1.679670618926908,-2.480703762179992,CM_High,0.6252197967832619,
PDZ,128,471,1012846.5,0.004556230851852181,-0.06665920249469215,2170368,-1.9047585195671275,0.08563873906120088,-3.6129411956795807,-2.1550039731385287,CM_High,0.07441843724691896,
PP1,49,550,522578.5,0.0279277386735583,0.07725932797361369,970200,1.2386540983727437,-0.4803041731400566,-1.3843346383271617,-2.6773192072672387,CM_High,0.15205102166715076,
PP2A,26,573,267599.5,0.964510341006704,-0.0021050551155263196,536328,-1.2769985524785563,-0.2971575602832884,-1.3805345212268016,-2.6037908160618306,CM_High,0.9882376397843616,
PP2B,18,581,171452.0,0.11385870171351727,-0.08920337434393659,376488,-4.115197008455291,-0.2227189298701746,-2.9822488407434453,-2.404503031127561,CM_High,0.3985054559973104,
PP4,35,564,357808.5,0.8646038610627924,0.00700354609929078,710640,-0.6017394833193949,-0.3234261746287018,-2.0181175267072207,-2.4407841884694643,CM_High,0.9882376397843616,
PTB,22,577,255868.0,0.01930130524261983,0.1198116345430037,456984,3.291821847812587,-0.4781513432558814,-0.6875127885598789,-2.6231886237842845,CM_High,0.13510913669833882,
Pex14,92,507,807979.5,0.15870758409768448,-0.03765221679101278,1679184,-1.8828125762965904,-0.059673545142959195,-3.102073246320291,-2.2615454824318713,CM_High,0.5184447747191027,
REV1ctd,15,584,163026.0,0.5823510623777164,0.033904109589041095,315360,-0.4533270999694361,-0.33676941422470047,-1.7370727686504006,-2.4149990814586504,CM_High,0.8917250642658783,
SH2,222,377,1510573.0,0.8919654539706856,0.002708942364114778,3012984,-0.6370387543171407,-0.16459055954472523,-2.2342958986205876,-2.7009818442659146,CM_High,0.9882376397843616,
