motif,contrast,log_effect,se_log_effect,z,logFC,pvalue,qvalue,neglog10_q
SUMO,Naive_vs_EM,0.07275461208589135,0.029021836937025838,2.50689204283522,0.10496271805811569,0.012179790537446332,0.040599301791487775,1.3914814351595413
FHA,Naive_vs_EM,-0.027970395474378767,0.014112161703074786,-1.98200644684255,-0.04035275084258935,0.04747851910977823,0.13565291174222352,0.8675708798234415
LIR,Naive_vs_EM,0.03761437347324895,0.01966009865478446,1.9132342178809543,0.05426607007600163,0.05571807480752899,0.13929518701882246,0.8560638892277097
TYR,Naive_vs_EM,0.033429514074754876,0.018559964069477262,1.8011626504025022,0.048228594174976665,0.07167724736498285,0.1592827719221841,0.7978311950949493
PDZ,Naive_vs_EM,0.03322760474601741,0.019053372837066974,1.743922455628196,0.0479373005876979,0.08117261238662865,0.1623452247732573,0.789560481199508
CYCLIN,Naive_vs_EM,0.038035285649033454,0.030329313875442552,1.2540766931041714,0.05487331798465572,0.2098141308759499,0.3564105101950057,0.4480494975296846
PP4,Naive_vs_EM,0.042408386631081735,0.03411616534892612,1.2430584210548337,0.06118236908476343,0.2138463061170034,0.3564105101950057,0.4480494975296846
F_14_3_3,Naive_vs_EM,-0.020098874906347305,0.018244723762492168,-1.101626704136071,-0.02899654715483489,0.27062399387242,0.41634460595756917,0.38054705756515944
SH3,Naive_vs_EM,0.041439908265885145,0.045704269723098025,0.9066966503775521,0.059785150150086064,0.3645672352521562,0.5208103360745088,0.2833204052855255
WD40,Naive_vs_EM,0.03667718564520467,0.045516269751719185,0.8058038553086688,0.05291399384410065,0.4203559547454432,0.5604746063272577,0.2514440593968872
BIR,Naive_vs_EM,0.02087726342753655,0.030452828161241396,0.685560740598403,0.030119524414239505,0.49299014549977216,0.5827166055615917,0.2345426057282609
UBA3,Naive_vs_EM,0.04549651393464932,0.06672128617950865,0.6818890423101908,0.0656375950312542,0.49530911472735295,0.5827166055615917,0.2345426057282609
Pex14,Naive_vs_EM,0.008085197579070252,0.037847631902993804,0.2136249263835897,0.011664474451932106,0.8308395596393059,0.9231550662658954,0.03472534256322448
USP7,Naive_vs_EM,-0.004103052888327796,0.02858387059820826,-0.14354434170244915,-0.0059194540544956495,0.885860294204424,0.9324845202151831,0.03035836900016248
WW,Naive_vs_EM,0.0020376164673915065,0.02819442879256776,0.07227018083546476,0.0029396591727394146,0.9423868948714282,0.9423868948714282,0.02577076195064607
SH3,PD1Low_vs_PD1High,0.060468768097065306,0.010362341762390868,5.835434642440664,0.08723799186230088,5.3650524360615564e-09,1.0730104872123113e-07,6.969396033377777
BRCT,PD1Low_vs_PD1High,-0.14942647042917928,0.02926942793666259,-5.105206386422373,-0.2155768278657183,3.3043367688018886e-07,3.3043367688018885e-06,5.480915697011753
PP4,PD1Low_vs_PD1High,-0.15769137818121118,0.04891087897156252,-3.2240552919299446,-0.22750056929297946,0.0012638899366089554,0.008425932910726368,2.074382003150938
WW,PD1Low_vs_PD1High,-0.07173907662236338,0.024399521051832643,-2.9401838040167214,-0.10349761008103703,0.003280176015735288,0.01640088007867644,1.7851328468878043
F_14_3_3,PD1Low_vs_PD1High,-0.03423276392365693,0.012578807954881775,-2.721463277477844,-0.049387438748582466,0.006499360581529392,0.02599744232611757,1.585069376578885
CYCLIN,PD1Low_vs_PD1High,-0.0690824621359888,0.02600440981664781,-2.656567198528104,-0.09966492553599063,0.007894071638507926,0.026313572128359757,1.5798201914304328
USP7,PD1Low_vs_PD1High,-0.04321197023215728,0.017764680856124666,-2.4324653272484342,-0.06234169516097482,0.014996427247835743,0.04284693499381641,1.3680802393856208
PP1,PD1Low_vs_PD1High,0.03586595601065534,0.01577841828267577,2.273102117595341,0.051743636873314174,0.02302002685736976,0.0575500671434244,1.239954165344325
LIR,PD1Low_vs_PD1High,0.036288046632342974,0.018287011774919995,1.9843617469591601,0.05235258492002866,0.047215527223622114,0.10492339383027136,0.9791276702555163
Pex14,PD1Low_vs_PD1High,-0.027794407875651572,0.01854028082039174,-1.4991362938301114,-0.04009885440664767,0.13383827779337756,0.26234298746505474,0.5811305401789425
WD40,PD1Low_vs_PD1High,0.031390709581502696,0.021500409346866988,1.4600052061835236,0.04528722104321961,0.1442886431057801,0.26234298746505474,0.5811305401789425
SUMO,PD1Low_vs_PD1High,0.03483624574422284,0.029182836548523737,1.1937237727490575,0.05025807897837955,0.23258603808366995,0.3876433968061166,0.411567609489111
TYR,PD1Low_vs_PD1High,-0.024998364616919733,0.024572917593620316,-1.0173136552335924,-0.03606501666316423,0.3090042426372869,0.4753911425189029,0.32294891430114975
SH2,PD1Low_vs_PD1High,0.02536062505194736,0.02881712889143353,0.8800538439305213,0.03658764799628887,0.37883014148271765,0.5411859164038824,0.2666535138254572
BIR,PD1Low_vs_PD1High,0.0170160222262076,0.021867410171398944,0.7781452898552832,0.024548930881406084,0.4364833656423157,0.5819778208564209,0.2350935659741841
MAPK,PD1Low_vs_PD1High,0.016303995596948395,0.023143204432932784,0.7044830651777767,0.023521693594392944,0.4811319926878854,0.6014149908598567,0.2208257508836981
Arc,PD1Low_vs_PD1High,0.024277040430410124,0.04783972332952942,0.5074661545006248,0.03502436583641355,0.6118277783802583,0.7197973863297156,0.14278973465538167
PDZ,PD1Low_vs_PD1High,0.01069925833904617,0.025564274882622317,0.4185238340681098,0.015435766946931797,0.6755641642919992,0.7506268492133324,0.1245759053417356
FHA,PD1Low_vs_PD1High,-0.002430518106581847,0.013721876084262204,-0.17712724496684817,-0.003506496419156464,0.8594084418846168,0.904640465141702,0.043523989888020316
UBA3,PD1Low_vs_PD1High,-0.0011741355731713088,0.047228529752721245,-0.02486072675390994,-0.001693919568745568,0.9801660530545341,0.9801660530545341,0.008700342862354143
