motif,tsubset,coef,se
PP2B,EM,-0.7016962425371198,0.11104116841534441
PP4,EM,-0.547154719582282,0.08829988305971763
PTB,EM,-0.06475999052635018,0.08976860400348947
Pex14,EM,-0.5207893365661903,0.08385792190277512
REV1ctd,EM,1.1248996430206644,0.12160782089192139
SH2,EM,0.084471171979633,0.04866443231152683
SH3,EM,0.03914337144305956,0.049676292489296774
SUMO,EM,-0.6599260752150973,0.07453116672563968
TRAF2like,EM,0.3580202575667504,0.08529670941449832
TRAF4,EM,0.3308876420627965,0.1452398652261558
TRAF6,EM,-1.1227074736320353,0.10227509074952705
TRFH,EM,-0.6416503569888398,0.14535453008425664
TYR,EM,-0.7188193918837238,0.07275681543704654
UBA3,EM,-0.2175144523281618,0.08793239797248767
USP7,EM,-0.669979206014136,0.04515858006727101
WD40,EM,-0.5240377001338299,0.048259640288313074
WRC,EM,-0.34612192933490554,0.08865070859158918
WW,EM,-0.11501826862135699,0.04912054093785301
deltaCOP1,EM,0.28474974829643296,0.17617134002479357
eIF4E,EM,0.5672451033595967,0.15344653452941415
14-3-3,High,-0.20896708692326635,0.03136795819711596
ANK,High,-0.5400945158713509,0.10872318632882683
APCC,High,-1.081059901048932,0.09004513020018033
Actin,High,0.017277661608224054,0.1088158619716908
Arc,High,0.07617532138145838,0.03990607291271624
BIR,High,0.6480373830025644,0.04588440766007254
BRCT,High,-0.5164864311665395,0.04952645172080069
CDC14,High,-1.007846851864719,0.14528547482891577
CKS1,High,-0.29700716438931696,0.06977254806855344
CSL,High,-0.23961744335594487,0.12973637175097838
CYCLIN,High,-0.3631500810900873,0.05103075254373381
Clathr,High,-0.3185433113966499,0.11139999284528612
DLG,High,-2.228815413606866,0.1416879869178283
EVH1,High,0.10378868854420482,0.09582730578912847
FHA,High,-0.5911090620317048,0.03153423237520451
GBD,High,-1.4564508455274363,0.13728082728703175
IRF7,High,-2.043694182110308,0.12822474766252498
Integrin,High,-1.1155451895708244,0.1307562093367858
LIR,High,-0.5383303879186662,0.034826385565454476
LYPXL,High,0.12149818979921867,0.14644652484001955
MAPK,High,-0.3989033988649485,0.04037955768248643
MSH2,High,-0.2850010387813269,0.08558686824228072
MYND,High,0.6316319785254932,0.13367659548396874
NRBOX,High,-0.28845552047742407,0.16027945921999848
NRP,High,-0.2670520912353863,0.0947372298957671
PCNA,High,-0.2658832022377213,0.10811340614329983
PDZ,High,0.04954316046128067,0.03524905809941953
PP1,High,0.40666151312758314,0.06917929655791655
PP2A,High,-0.650651900216764,0.053001309077975504
PP2B,High,-1.4545243786043223,0.07452622535890052
PP4,High,-0.5741523658045384,0.05893930648857481
PTB,High,-0.34432957308944,0.059837505500455794
Pex14,High,-0.5445288016755085,0.05596635669018991
REV1ctd,High,0.9030843590644408,0.0810318232318125
SH2,High,-0.032175208244544645,0.032445908274800934
SH3,High,-0.16255665657081658,0.03311705927599968
SUMO,High,-0.5967579608871683,0.04977106952573429
TRAF2like,High,0.3426287681457627,0.05687577939459662
TRAF4,High,0.2982949872798396,0.09682261501937003
TRAF6,High,-0.7889835091079006,0.06829515749437756
TRFH,High,-1.398857942105351,0.09703620537237781
TYR,High,-0.7831407808574159,0.04857293483054099
UBA3,High,-0.1558699985361743,0.0586223524779012
USP7,High,-0.8127399204982326,0.0301265578457281
WD40,High,-0.6686477155179658,0.03218292333603679
WRC,High,-0.5475297196874489,0.05918753450916376
WW,High,0.03325972066026898,0.03274125559304581
deltaCOP1,High,-0.0017490296192211388,0.11768035193718693
eIF4E,High,0.5126355635422918,0.10231893231601422
14-3-3,Low,-0.17660608293103558,0.038055608037603106
ANK,Low,-0.15549147237416117,0.1317018264711245
APCC,Low,-1.319031792529292,0.10841451627376873
Actin,Low,0.3537466061116552,0.1320230240845751
Arc,Low,0.1586683516449733,0.04838751388305715
BIR,Low,0.5169144329649371,0.0556691665193997
BRCT,Low,-0.6553857619554609,0.0599788552013777
CDC14,Low,-1.304475451370025,0.17493784437699472
CKS1,Low,-0.3624266976249381,0.0845610324306348
CSL,Low,0.023321596497609648,0.15673524557902346
CYCLIN,Low,-0.5994297381641649,0.06174284869134053
Clathr,Low,-0.33744294304145167,0.13497832284209127
DLG,Low,-2.063658406467253,0.17091860122450908
EVH1,Low,-0.5148408363969343,0.11579501963481983
FHA,Low,-0.49173572401552035,0.03827367744846477
GBD,Low,-1.4233174829733204,0.16660037438685393
IRF7,Low,-1.6701734753919222,0.15435580255657783
Integrin,Low,-1.5830156776691375,0.1583609112079012
